Instancia;Métrica;Sección 5;Col. iniciales;Rankear;Eliminar col.
instance_0001;Restricciones;;155;;
;# variables inicial;;30;;
;# variables en últ. maestro;;30;;
;Cota dual;;68;;
;Mejor objetivo;;68;;
;Tiempo (seg);;0.01;;
;Solución válida;;SÍ;;
