Instancia;Métrica;Sección 5;Col. iniciales;Rankear;Eliminar col.
instance_0001;Restricciones;;7675;;
;# variables inicial;;30;;
;# variables en últ. maestro;;30;;
;Cota dual;;350;;
;Mejor objetivo;;350;;
;Tiempo (seg);;0.56;;
;Solución válida;;SÍ;;
